counterparty_id,name,lei,country,sector,rating,pd_1y
CP001,Goldman Sachs,549300ABCDEFGHIJK001,US,Investment Banking,AA-,0.0015
CP002,JP Morgan,549300ABCDEFGHIJK002,US,Banking,AA,0.0012
CP003,Morgan Stanley,549300ABCDEFGHIJK003,US,Investment Banking,A+,0.0020
CP004,Deutsche Bank,549300ABCDEFGHIJK004,DE,Banking,BBB+,0.0045
CP005,BNP Paribas,549300ABCDEFGHIJK005,FR,Banking,A,0.0025
CP006,Barclays,549300ABCDEFGHIJK006,GB,Banking,A,0.0028
CP007,Credit Suisse,549300ABCDEFGHIJK007,CH,Banking,BBB,0.0055
CP008,UBS,549300ABCDEFGHIJK008,CH,Banking,A+,0.0020
CP009,HSBC,549300ABCDEFGHIJK009,GB,Banking,AA-,0.0018
CP010,Citigroup,549300ABCDEFGHIJK010,US,Banking,A,0.0025
