trade_id,instrument_type,counterparty_id,netting_set_id,notional,currency,trade_date,maturity_date,reference_entity,spread_bps,is_protection_buyer
CDS-000001,CreditDefaultSwap,CP001,NS001,25000000.00,USD,2026-01-10,2031-01-10,FORD,145.00,true
CDS-000002,CreditDefaultSwap,CP002,NS003,50000000.00,USD,2026-01-10,2033-01-10,GM,125.00,false
CDS-000003,CreditDefaultSwap,CP003,NS004,30000000.00,USD,2026-01-10,2029-01-10,BOEING,85.00,true
CDS-000004,CreditDefaultSwap,CP004,NS006,40000000.00,USD,2026-01-10,2036-01-10,ATT,98.00,false
CDS-000005,CreditDefaultSwap,CP005,NS007,20000000.00,USD,2026-01-10,2028-01-10,VERIZON,72.00,true
CDS-000006,CreditDefaultSwap,CP001,NS002,60000000.00,USD,2026-01-10,2031-01-10,JPMORGAN,55.00,false
CDS-000007,CreditDefaultSwap,CP002,NS003,35000000.00,USD,2026-01-10,2034-01-10,GOLDMANSACHS,62.00,true
CDS-000008,CreditDefaultSwap,CP003,NS005,45000000.00,USD,2026-01-10,2027-01-10,CITI,78.00,false
CDS-000009,CreditDefaultSwap,CP004,NS006,55000000.00,USD,2026-01-10,2038-01-10,BANKOFAMERICA,68.00,true
CDS-000010,CreditDefaultSwap,CP005,NS007,15000000.00,USD,2026-01-10,2030-01-10,WELLS_FARGO,58.00,false
CDS-000011,CreditDefaultSwap,CP001,NS001,70000000.00,EUR,2026-01-10,2031-01-10,DEUTSCHE_BANK,110.00,true
CDS-000012,CreditDefaultSwap,CP002,NS003,28000000.00,EUR,2026-01-10,2032-01-10,BNP_PARIBAS,75.00,false
CDS-000013,CreditDefaultSwap,CP003,NS004,38000000.00,GBP,2026-01-10,2029-01-10,BARCLAYS,82.00,true
CDS-000014,CreditDefaultSwap,CP004,NS006,22000000.00,USD,2026-01-10,2035-01-10,TESLA,185.00,false
CDS-000015,CreditDefaultSwap,CP005,NS007,32000000.00,USD,2026-01-10,2033-01-10,AMAZON,48.00,true
