netting_set_id,counterparty_id,csa_id,closeout_netting,threshold,minimum_transfer_amount,independent_amount,collateral_currency,margin_period_of_risk
NS001,CP001,CSA001,true,10000000,500000,0,USD,10
NS002,CP001,CSA002,true,5000000,250000,1000000,USD,10
NS003,CP002,CSA003,true,15000000,750000,0,USD,10
NS004,CP003,CSA004,true,8000000,400000,500000,USD,10
NS005,CP003,CSA005,true,6000000,300000,0,USD,10
NS006,CP004,CSA006,true,3000000,150000,200000,EUR,10
NS007,CP005,CSA007,true,12000000,600000,0,EUR,10
NS008,CP006,CSA008,true,7000000,350000,0,GBP,10
NS009,CP007,,false,0,0,0,CHF,14
NS010,CP008,CSA010,true,20000000,1000000,0,CHF,10
NS011,CP009,CSA011,true,15000000,750000,500000,USD,10
NS012,CP010,CSA012,true,10000000,500000,0,USD,10
