underlying,expiry_months,strike_pct,implied_vol,date
AAPL,1,80,0.32,2026-01-10
AAPL,1,90,0.26,2026-01-10
AAPL,1,100,0.22,2026-01-10
AAPL,1,110,0.24,2026-01-10
AAPL,1,120,0.28,2026-01-10
AAPL,3,80,0.30,2026-01-10
AAPL,3,90,0.25,2026-01-10
AAPL,3,100,0.21,2026-01-10
AAPL,3,110,0.23,2026-01-10
AAPL,3,120,0.27,2026-01-10
AAPL,6,80,0.29,2026-01-10
AAPL,6,90,0.24,2026-01-10
AAPL,6,100,0.20,2026-01-10
AAPL,6,110,0.22,2026-01-10
AAPL,6,120,0.26,2026-01-10
AAPL,12,80,0.28,2026-01-10
AAPL,12,90,0.23,2026-01-10
AAPL,12,100,0.19,2026-01-10
AAPL,12,110,0.21,2026-01-10
AAPL,12,120,0.25,2026-01-10
GOOGL,1,80,0.35,2026-01-10
GOOGL,1,90,0.29,2026-01-10
GOOGL,1,100,0.25,2026-01-10
GOOGL,1,110,0.27,2026-01-10
GOOGL,1,120,0.31,2026-01-10
GOOGL,3,80,0.33,2026-01-10
GOOGL,3,90,0.28,2026-01-10
GOOGL,3,100,0.24,2026-01-10
GOOGL,3,110,0.26,2026-01-10
GOOGL,3,120,0.30,2026-01-10
GOOGL,6,80,0.32,2026-01-10
GOOGL,6,90,0.27,2026-01-10
GOOGL,6,100,0.23,2026-01-10
GOOGL,6,110,0.25,2026-01-10
GOOGL,6,120,0.29,2026-01-10
GOOGL,12,80,0.31,2026-01-10
GOOGL,12,90,0.26,2026-01-10
GOOGL,12,100,0.22,2026-01-10
GOOGL,12,110,0.24,2026-01-10
GOOGL,12,120,0.28,2026-01-10
MSFT,1,80,0.28,2026-01-10
MSFT,1,90,0.23,2026-01-10
MSFT,1,100,0.19,2026-01-10
MSFT,1,110,0.21,2026-01-10
MSFT,1,120,0.25,2026-01-10
MSFT,3,80,0.27,2026-01-10
MSFT,3,90,0.22,2026-01-10
MSFT,3,100,0.18,2026-01-10
MSFT,3,110,0.20,2026-01-10
MSFT,3,120,0.24,2026-01-10
MSFT,6,80,0.26,2026-01-10
MSFT,6,90,0.21,2026-01-10
MSFT,6,100,0.17,2026-01-10
MSFT,6,110,0.19,2026-01-10
MSFT,6,120,0.23,2026-01-10
MSFT,12,80,0.25,2026-01-10
MSFT,12,90,0.20,2026-01-10
MSFT,12,100,0.16,2026-01-10
MSFT,12,110,0.18,2026-01-10
MSFT,12,120,0.22,2026-01-10
