trade_id,instrument_type,counterparty_id,netting_set_id,notional,currency,trade_date,maturity_date,underlying,strike,is_call,forward_price
EQ-OPT-000001,EquityOption,CP001,NS001,5000000.00,USD,2026-01-10,2026-07-10,AAPL,185.00,true,
EQ-OPT-000002,EquityOption,CP002,NS003,8000000.00,USD,2026-01-10,2026-10-10,GOOGL,145.00,false,
EQ-OPT-000003,EquityOption,CP003,NS004,3500000.00,USD,2026-01-10,2026-04-10,MSFT,390.00,true,
EQ-OPT-000004,EquityOption,CP001,NS002,12000000.00,JPY,2026-01-10,2027-01-10,7203.T,2900.00,false,
EQ-OPT-000005,EquityOption,CP004,NS006,2000000.00,EUR,2026-01-10,2026-06-10,DBK.DE,16.00,true,
EQ-OPT-000006,EquityOption,CP002,NS003,15000000.00,USD,2026-01-10,2026-12-10,AAPL,175.00,true,
EQ-OPT-000007,EquityOption,CP005,NS007,7500000.00,USD,2026-01-10,2026-08-10,GOOGL,130.00,false,
EQ-OPT-000008,EquityOption,CP003,NS005,4200000.00,USD,2026-01-10,2026-05-10,MSFT,370.00,true,
EQ-OPT-000009,EquityOption,CP001,NS001,9800000.00,USD,2026-01-10,2027-03-10,NVDA,480.00,true,
EQ-OPT-000010,EquityOption,CP004,NS006,6300000.00,EUR,2026-01-10,2026-09-10,SAP.DE,185.00,false,
EQ-FWD-000001,EquityForward,CP002,NS003,3000000.00,USD,2026-01-10,2026-06-10,AAPL,,,,188.50
EQ-FWD-000002,EquityForward,CP003,NS004,5500000.00,USD,2026-01-10,2026-09-10,GOOGL,,,,143.20
EQ-FWD-000003,EquityForward,CP001,NS001,4800000.00,USD,2026-01-10,2026-07-10,MSFT,,,,387.00
EQ-FWD-000004,EquityForward,CP005,NS007,2200000.00,JPY,2026-01-10,2026-04-10,7203.T,,,,2850.00
EQ-FWD-000005,EquityForward,CP004,NS006,1800000.00,EUR,2026-01-10,2026-08-10,DBK.DE,,,,15.80
