currency_pair,expiry_months,delta,implied_vol,date
USDJPY,1,10P,0.120,2026-01-10
USDJPY,1,25P,0.100,2026-01-10
USDJPY,1,ATM,0.090,2026-01-10
USDJPY,1,25C,0.095,2026-01-10
USDJPY,1,10C,0.110,2026-01-10
USDJPY,3,10P,0.115,2026-01-10
USDJPY,3,25P,0.098,2026-01-10
USDJPY,3,ATM,0.088,2026-01-10
USDJPY,3,25C,0.093,2026-01-10
USDJPY,3,10C,0.108,2026-01-10
USDJPY,6,10P,0.112,2026-01-10
USDJPY,6,25P,0.096,2026-01-10
USDJPY,6,ATM,0.086,2026-01-10
USDJPY,6,25C,0.091,2026-01-10
USDJPY,6,10C,0.105,2026-01-10
USDJPY,12,10P,0.110,2026-01-10
USDJPY,12,25P,0.094,2026-01-10
USDJPY,12,ATM,0.085,2026-01-10
USDJPY,12,25C,0.090,2026-01-10
USDJPY,12,10C,0.103,2026-01-10
EURUSD,1,10P,0.090,2026-01-10
EURUSD,1,25P,0.078,2026-01-10
EURUSD,1,ATM,0.070,2026-01-10
EURUSD,1,25C,0.075,2026-01-10
EURUSD,1,10C,0.085,2026-01-10
EURUSD,3,10P,0.088,2026-01-10
EURUSD,3,25P,0.076,2026-01-10
EURUSD,3,ATM,0.068,2026-01-10
EURUSD,3,25C,0.073,2026-01-10
EURUSD,3,10C,0.083,2026-01-10
EURUSD,6,10P,0.086,2026-01-10
EURUSD,6,25P,0.074,2026-01-10
EURUSD,6,ATM,0.067,2026-01-10
EURUSD,6,25C,0.072,2026-01-10
EURUSD,6,10C,0.081,2026-01-10
EURUSD,12,10P,0.084,2026-01-10
EURUSD,12,25P,0.072,2026-01-10
EURUSD,12,ATM,0.065,2026-01-10
EURUSD,12,25C,0.070,2026-01-10
EURUSD,12,10C,0.080,2026-01-10
GBPUSD,1,10P,0.095,2026-01-10
GBPUSD,1,25P,0.082,2026-01-10
GBPUSD,1,ATM,0.074,2026-01-10
GBPUSD,1,25C,0.079,2026-01-10
GBPUSD,1,10C,0.090,2026-01-10
GBPUSD,3,10P,0.093,2026-01-10
GBPUSD,3,25P,0.080,2026-01-10
GBPUSD,3,ATM,0.072,2026-01-10
GBPUSD,3,25C,0.077,2026-01-10
GBPUSD,3,10C,0.088,2026-01-10
GBPUSD,6,10P,0.091,2026-01-10
GBPUSD,6,25P,0.078,2026-01-10
GBPUSD,6,ATM,0.070,2026-01-10
GBPUSD,6,25C,0.075,2026-01-10
GBPUSD,6,10C,0.086,2026-01-10
GBPUSD,12,10P,0.090,2026-01-10
GBPUSD,12,25P,0.076,2026-01-10
GBPUSD,12,ATM,0.068,2026-01-10
GBPUSD,12,25C,0.073,2026-01-10
GBPUSD,12,10C,0.085,2026-01-10
